latitud,longitud,timestamp,day,month,year,hour,minute,voltage_V_A,current_A_A,power_W_A,pf_A,freq_Hz_A,energy_Wh_A,voltage_V_B,current_A_B,power_W_B,pf_B,freq_Hz_B,energy_Wh_B,id_punto
25.646641,-100.288357,2026-04-30 14:09:00,30,4,2026,14,9,128.4,2.252,231.7,0.8,59.18,169305,126.0,0.043,4.1,0.75,59.15,26313,25.646641_-100.288357
25.646641,-100.288357,2026-04-30 14:45:00,30,4,2026,14,45,129.1,3.618,465.8,0.99,59.2,169328,126.5,0.042,4.1,0.75,59.13,26313,25.646641_-100.288357
25.646641,-100.288357,2026-04-30 15:41:00,30,4,2026,15,41,127.1,9.428,1045.1,0.87,59.15,169395,125.4,7.72,853.8,0.88,59.15,26363,25.646641_-100.288357
25.646641,-100.288357,2026-04-30 16:36:00,30,4,2026,16,36,128.3,2.608,288.1,0.86,59.13,169478,125.4,0.045,4.2,0.74,59.12,26426,25.646641_-100.288357
25.646641,-100.288357,2026-04-30 17:33:00,30,4,2026,17,33,127.2,2.334,252.8,0.85,59.1,169503,128.5,0.043,4.1,0.74,59.12,26426,25.646641_-100.288357
25.646641,-100.288357,2026-04-30 19:24:00,30,4,2026,19,24,130.3,2.429,255.1,0.8,59.15,169552,125.6,0.153,10.4,0.54,59.13,26443,25.646641_-100.288357
25.646641,-100.288357,2026-04-30 23:04:00,30,4,2026,23,4,129.5,8.624,1015.1,0.9,59.12,169817,127.3,6.464,708.3,0.86,59.13,26600,25.646641_-100.288357
25.646641,-100.288357,2026-05-01 01:33:00,1,5,2026,1,33,131.2,9.557,1156.3,0.92,59.18,170041,128.2,6.385,701.2,0.85,59.18,26719,25.646641_-100.288357
25.646641,-100.288357,2026-05-01 03:19:00,1,5,2026,3,19,132.0,3.861,462.9,0.9,59.15,170179,128.8,0.339,26.4,0.6,59.18,26775,25.646641_-100.288357
25.646641,-100.288357,2026-05-01 04:48:00,1,5,2026,4,48,133.3,9.06,1123.2,0.93,59.13,170287,130.1,6.242,686.3,0.84,59.15,26817,25.646641_-100.288357
25.646641,-100.288357,2026-05-01 05:46:00,1,5,2026,5,46,133.8,3.019,356.8,0.88,59.12,170367,132.4,0.338,26.4,0.58,59.13,26861,25.646641_-100.288357
25.646641,-100.288357,2026-05-01 06:44:00,1,5,2026,6,44,135.4,3.221,381.6,0.87,59.12,170435,131.4,0.339,26.1,0.58,59.16,26884,25.646641_-100.288357
25.646641,-100.288357,2026-05-01 08:08:00,1,5,2026,8,8,134.7,2.669,316.5,0.88,59.12,170503,133.0,0.043,4.3,0.74,59.15,26904,25.646641_-100.288357
25.646641,-100.288357,2026-05-01 09:14:00,1,5,2026,9,14,134.8,2.648,315.0,0.88,59.15,170538,134.1,0.043,4.3,0.74,59.13,26905,25.646641_-100.288357
25.646641,-100.288357,2026-05-01 10:12:00,1,5,2026,10,12,136.0,2.583,316.9,0.9,59.12,170565,134.0,0.043,4.3,0.74,59.13,26905,25.646641_-100.288357
25.646641,-100.288357,2026-05-01 11:14:00,1,5,2026,11,14,134.9,2.227,265.9,0.88,59.15,170596,134.5,0.044,4.5,0.76,59.16,26906,25.646641_-100.288357
25.646641,-100.288357,2026-05-01 12:13:00,1,5,2026,12,13,136.1,2.29,278.4,0.89,59.15,170663,131.4,0.043,4.3,0.75,59.18,26943,25.646641_-100.288357
25.646641,-100.288357,2026-05-01 13:40:00,1,5,2026,13,40,133.5,1.718,224.4,0.97,59.16,170702,135.6,0.042,4.3,0.75,59.16,26944,25.646641_-100.288357
25.646641,-100.288357,2026-05-01 14:33:00,1,5,2026,14,33,133.3,1.91,192.4,0.75,59.15,170720,131.9,0.044,4.3,0.74,59.15,26944,25.646641_-100.288357
25.646641,-100.288357,2026-05-01 15:30:00,1,5,2026,15,30,133.1,1.756,187.9,0.8,59.12,170737,134.1,0.044,4.5,0.75,59.13,26945,25.646641_-100.288357
25.646641,-100.288357,2026-05-01 16:27:00,1,5,2026,16,27,133.2,2.872,344.9,0.9,59.1,170760,130.5,0.044,4.2,0.73,59.12,26945,25.646641_-100.288357
25.646641,-100.288357,2026-05-01 17:28:00,1,5,2026,17,28,132.7,3.881,478.6,0.92,59.13,170795,129.9,0.043,4.2,0.74,59.15,26946,25.646641_-100.288357
