timestamp,voltage_V,current_A,power_W,pf,freq_Hz,energy_Wh
2026-04-30 14:09:56,126.0,0.043,4.1,0.75,59.15,26313
2026-04-30 14:45:04,126.5,0.042,4.1,0.75,59.13,26313
2026-04-30 15:41:58,125.4,7.72,853.8,0.88,59.15,26363
2026-04-30 16:36:24,125.4,0.045,4.2,0.74,59.12,26426
2026-04-30 17:33:24,128.5,0.043,4.1,0.74,59.12,26426
2026-04-30 19:24:38,125.6,0.153,10.4,0.54,59.13,26443
2026-04-30 23:04:16,127.3,6.464,708.3,0.86,59.13,26600
2026-05-01 01:33:57,128.2,6.385,701.2,0.85,59.18,26719
2026-05-01 03:19:04,128.8,0.339,26.4,0.6,59.18,26775
2026-05-01 04:48:50,130.1,6.242,686.3,0.84,59.15,26817
2026-05-01 05:46:54,132.4,0.338,26.4,0.58,59.13,26861
2026-05-01 06:44:29,131.4,0.339,26.1,0.58,59.16,26884
2026-05-01 08:08:48,133.0,0.043,4.3,0.74,59.15,26904
2026-05-01 09:14:33,134.1,0.043,4.3,0.74,59.13,26905
2026-05-01 10:12:16,134.0,0.043,4.3,0.74,59.13,26905
2026-05-01 11:14:37,134.5,0.044,4.5,0.76,59.16,26906
2026-05-01 12:13:29,131.4,0.043,4.3,0.75,59.18,26943
2026-05-01 13:40:37,135.6,0.042,4.3,0.75,59.16,26944
2026-05-01 14:33:32,131.9,0.044,4.3,0.74,59.15,26944
2026-05-01 15:30:38,134.1,0.044,4.5,0.75,59.13,26945
2026-05-01 16:27:58,130.5,0.044,4.2,0.73,59.12,26945
2026-05-01 17:28:19,129.9,0.043,4.2,0.74,59.15,26946
2026-05-01 19:12:29,133.3,5.147,585.7,0.85,59.13,26971
2026-05-01 22:28:12,133.7,0.043,4.4,0.75,59.16,27026
2026-05-02 00:26:15,134.9,0.043,4.3,0.75,59.13,27033
2026-05-02 02:07:19,135.8,0.043,4.4,0.75,59.15,27033
2026-05-02 03:19:33,136.3,0.043,4.4,0.74,59.1,27034
2026-05-02 04:14:09,136.8,0.043,4.5,0.76,59.15,27034
2026-05-02 05:08:22,138.1,0.043,4.4,0.74,59.13,27035
2026-05-02 05:56:57,136.7,0.043,4.4,0.74,59.13,27035
2026-05-02 07:15:06,138.2,0.042,4.4,0.74,59.12,27036
2026-05-02 08:15:48,137.7,0.043,4.4,0.74,59.13,27036
2026-05-02 09:07:57,134.6,0.046,4.4,0.72,59.13,27036
2026-05-02 09:59:39,136.7,0.044,4.4,0.74,59.16,27037
2026-05-02 11:00:16,138.0,0.044,4.5,0.74,59.16,27037
2026-05-02 11:53:48,137.1,0.045,4.6,0.74,59.15,27038
2026-05-02 12:45:43,137.6,0.043,4.5,0.75,59.13,27038
2026-05-02 13:43:53,138.8,0.043,4.5,0.74,59.12,27038
2026-05-02 14:26:15,136.1,0.043,4.4,0.74,59.12,27039
2026-05-02 15:08:19,136.2,0.043,4.4,0.75,59.1,27039
2026-05-02 15:57:36,135.3,0.045,4.5,0.74,59.12,27039
2026-05-02 16:47:20,135.1,0.044,4.4,0.74,59.1,27040
2026-05-02 17:30:26,132.6,0.045,4.2,0.69,59.13,27040
2026-05-02 18:11:10,135.1,0.044,4.4,0.74,59.16,27040
2026-05-02 22:11:41,135.6,0.044,4.4,0.73,59.18,27066
2026-05-03 00:40:56,135.3,0.353,27.5,0.57,59.16,27079
2026-05-03 02:25:54,136.8,0.044,4.5,0.74,59.09,27092
2026-05-03 03:47:35,137.3,0.044,4.5,0.74,59.1,27093
2026-05-03 04:40:23,135.0,0.043,4.3,0.74,59.16,27093
2026-05-03 05:27:16,137.8,0.043,4.4,0.73,59.16,27093
2026-05-03 06:07:08,137.1,0.045,4.5,0.71,59.12,27094
2026-05-03 07:45:40,136.6,0.356,29.2,0.6,59.13,27104
2026-05-03 08:36:50,138.7,0.043,4.4,0.74,59.1,27105
