timestamp,voltage_V,current_A,power_W,pf,freq_Hz,energy_Wh
2026-04-24 16:14:02,118.6,1.03,102,0.82,58.98,54009
2026-04-24 16:37:17,117.8,1.03,100,0.82,58.92,54012
2026-04-24 16:38:56,118.0,1.02,100,0.82,58.98,54012
2026-04-24 17:23:32,119.0,9.89,1104,0.93,58.93,54017
2026-04-24 17:24:39,119.0,9.93,1107,0.93,58.93,54017
2026-04-24 18:02:36,119.1,13.16,1526,0.97,58.93,54024
2026-04-24 21:27:44,121.0,1.01,102,0.83,58.93,54118
2026-04-24 23:27:28,120.5,10.03,1128,0.93,58.92,54133
2026-04-25 00:51:13,121.7,10.64,1240,0.95,58.9,54145
2026-04-25 01:57:20,121.0,10.65,1240,0.96,58.98,54152
2026-04-25 02:56:57,122.3,10.66,1248,0.95,58.93,54161
2026-04-25 03:54:16,123.0,10.67,1252,0.95,58.96,54169
2026-04-25 04:38:07,122.5,10.7,1254,0.95,58.96,54175
2026-04-25 05:25:08,122.4,10.68,1250,0.95,58.96,54181
2026-04-25 06:00:41,122.1,10.63,1242,0.95,58.95,54186
2026-04-25 07:24:48,122.9,2.43,232,0.77,58.99,54198
2026-04-25 08:12:21,121.8,11.85,1399,0.96,58.92,54228
2026-04-25 09:02:10,121.2,47.26,5627,0.98,58.93,54247
2026-04-25 09:51:54,119.6,14.42,1656,0.95,58.93,54297
2026-04-25 10:28:00,119.3,59.83,7032,0.98,58.95,54325
