timestamp,voltage_V,current_A,power_W,pf,freq_Hz,energy_Wh
2026-04-30 14:09:56,128.9,3.12,72,0.17,59.15,883
2026-04-30 14:45:04,130.0,22.93,2103,0.7,59.13,886
2026-04-30 15:41:58,129.0,3.19,69,0.16,59.09,896
2026-04-30 16:36:24,127.1,14.13,1066,0.59,59.09,902
2026-04-30 17:33:24,128.7,115.24,8681,0.58,59.09,913
2026-04-30 19:24:38,128.8,23.66,1536,0.5,59.1,954
2026-04-30 23:04:16,129.8,38.32,3476,0.69,59.12,1015
2026-05-01 01:33:57,132.5,30.36,1543,0.38,59.13,1073
2026-05-01 03:19:04,132.0,25.72,1326,0.39,59.13,1107
2026-05-01 04:48:50,133.6,20.32,1061,0.39,59.12,1143
2026-05-01 05:46:54,134.3,30.15,2275,0.56,59.1,1159
2026-05-01 06:44:29,134.8,26.33,1992,0.56,59.1,1181
2026-05-01 08:08:48,133.8,28.11,1983,0.52,59.1,1215
2026-05-01 09:14:33,135.3,21.82,1112,0.37,59.12,1238
2026-05-01 10:12:16,135.6,15.83,572,0.26,59.12,1247
2026-05-01 11:14:37,136.9,15.06,1178,0.57,59.15,1260
2026-05-01 12:13:29,136.5,17.09,1318,0.56,59.12,1268
2026-05-01 13:40:37,136.6,19.18,1025,0.39,59.15,1292
2026-05-01 14:33:32,135.7,20.98,2420,0.84,59.12,1304
2026-05-01 15:30:38,134.3,29.59,2726,0.68,59.1,1322
2026-05-01 16:27:58,133.0,21.09,1539,0.54,59.09,1338
2026-05-01 17:28:19,132.8,21.02,800,0.28,59.12,1355
