latitud;longitud;timestamp;day;month;year;hour;minute;voltage_V_A;current_A_A;power_W_A;pf_A;freq_Hz_A;energy_Wh_A;voltage_V_B;current_A_B;power_W_B;pf_B;freq_Hz_B;energy_Wh_B
25,648629;-100,279387;30/4/2026 14:09;30;4;2026;14;9;121,5;2,52;216;0,7;59,18;42671;120,4;1,35;123;0,75;58,96;58028
25,648629;-100,279387;30/4/2026 14:45;30;4;2026;14;45;122;2,52;214;0,69;59,16;42689;119,8;1,34;121;0,75;58,96;58050
25,648629;-100,279387;30/4/2026 15:41;30;4;2026;15;41;120,8;45,98;5341;0,96;59,15;42714;119,4;54,09;6218;0,96;58,93;58082
25,648629;-100,279387;30/4/2026 16:36;30;4;2026;16;36;121,2;2,52;213;0,69;59,15;42743;120,5;1,32;119;0,74;58,9;58116
25,648629;-100,279387;30/4/2026 17:33;30;4;2026;17;33;121,9;44,87;5216;0,95;59,13;42763;120,1;54,79;6312;0,95;58,88;58141
25,648629;-100,279387;30/4/2026 19:24;30;4;2026;19;24;122,8;3,23;333;0,83;59,16;42815;121,6;18,43;2089;0,93;58,93;58212
25,648629;-100,279387;30/4/2026 23:04;30;4;2026;23;4;124,7;49,95;6126;0,98;59,18;42971;122,9;54,54;6569;0,97;58,93;58401
25,648629;-100,279387;1/5/2026 1:33;1;5;2026;1;33;126,1;45,69;5607;0,97;59,2;43118;123,9;55,82;6769;0,97;58,96;58563
25,648629;-100,279387;1/5/2026 3:19;1;5;2026;3;19;126,6;88,64;10677;0,95;59,21;43235;123,2;89,59;10692;0,96;58,98;58692
25,648629;-100,279387;1/5/2026 4:48;1;5;2026;4;48;126;88,18;10464;0,94;59,18;43370;125,1;0;0;1;58,95;58834
25,648629;-100,279387;1/5/2026 5:46;1;5;2026;5;46;127,1;44,23;5361;0,95;59,18;43427;125,3;43,8;5298;0,96;58,93;58897
25,648629;-100,279387;1/5/2026 6:44;1;5;2026;6;44;126,3;43,64;5277;0,95;59,16;43493;125;52,67;6300;0,95;58,93;58969
25,648629;-100,279387;1/5/2026 8:08;1;5;2026;8;8;126,3;41,73;5063;0,95;59,16;43577;125,2;50,69;6085;0,95;58,95;59062
25,648629;-100,279387;1/5/2026 9:14;1;5;2026;9;14;127,2;41,88;5102;0,95;59,18;43631;124,6;51,23;6124;0,95;58,93;59128
25,648629;-100,279387;1/5/2026 10:12;1;5;2026;10;12;126,9;42,01;5121;0,95;59,18;43682;124,5;50,94;6103;0,96;58,96;59185
25,648629;-100,279387;1/5/2026 11:14;1;5;2026;11;14;126,2;42,24;5139;0,96;59,2;43733;124,8;41,6;5061;0,97;58,96;59245
25,648629;-100,279387;1/5/2026 12:13;1;5;2026;12;13;126,3;2,61;141;0,42;59,18;43761;124,9;10,44;1189;0,91;58,93;59277
25,648629;-100,279387;1/5/2026 13:40;1;5;2026;13;40;124,6;46,88;5703;0,97;59,18;43776;124,6;52,5;6343;0,96;58,95;59300
25,648629;-100,279387;1/5/2026 14:33;1;5;2026;14;33;124,3;45,71;5540;0,97;59,18;43824;124,4;42,87;5227;0,97;58,95;59351
25,648629;-100,279387;1/5/2026 15:30;1;5;2026;15;30;125;47,07;5717;0,97;59,15;43896;123,7;53,24;6366;0,96;58,9;59426
25,648629;-100,279387;1/5/2026 16:27;1;5;2026;16;27;124,2;47,82;5798;0,97;59,15;43965;123,5;46,27;5612;0,98;58,9;59498
25,648629;-100,279387;1/5/2026 17:28;1;5;2026;17;28;124,2;43,59;5270;0,97;59,18;44025;124,2;51,18;6169;0,96;58,93;59561
25,648629;-100,279387;1/5/2026 19:12;1;5;2026;19;12;125,7;9,2;556;0,48;59,13;44092;126;4;365;0,72;58,92;59634
25,648629;-100,279387;1/5/2026 22:28;1;5;2026;22;28;127,2;2,6;140;0,42;59,16;44215;126,3;4,09;373;0,72;58,96;59768
25,648629;-100,279387;2/5/2026 0:26;2;5;2026;0;26;127,2;2,95;282;0,74;59,16;44235;127,4;2,52;290;0,9;58,96;59802
25,648629;-100,279387;2/5/2026 2:07;2;5;2026;2;7;129,2;2,9;315;0,83;59,18;44240;127,6;14,03;1778;0,99;58,93;59815
25,648629;-100,279387;2/5/2026 3:19;2;5;2026;3;19;129,3;2,54;269;0,81;59,15;44243;127,5;12,45;1418;0,89;58,92;59833
25,648629;-100,279387;2/5/2026 4:14;2;5;2026;4;14;129,1;2,43;262;0,83;59,2;44246;128;2,72;323;0,92;58,96;59842
25,648629;-100,279387;2/5/2026 5:08;2;5;2026;5;8;129,5;2,54;142;0,43;59,15;44248;128,6;11,16;1294;0,9;58,93;59849
25,648629;-100,279387;2/5/2026 5:56;2;5;2026;5;56;130;2,42;236;0,74;59,18;44257;127,8;12,04;1365;0,88;58,92;59863
25,648629;-100,279387;2/5/2026 7:15;2;5;2026;7;15;128,9;2,4;232;0,74;59,13;44260;127;12,05;1360;0,88;58,92;59873
25,648629;-100,279387;2/5/2026 8:15;2;5;2026;8;15;128,9;2,58;241;0,72;59,16;44262;127,8;2,5;289;0,9;58,93;59882
