latitud;longitud;timestamp;day;month;year;hour;minute;voltage_V_A;current_A_A;power_W_A;pf_A;freq_Hz_A;energy_Wh_A;voltage_V_B;current_A_B;power_W_B;pf_B;freq_Hz_B;energy_Wh_B;voltage_V_C;current_A_C;power_W_C;pf_C;freq_Hz_C;energy_Wh_C;voltage_V_D;current_A_D;power_W_D;pf_D;freq_Hz_D;energy_Wh_D
25,645697;-100,286587;12/5/2026 14:40;12;5;2026;14;40;123,7;1,666;130,2;0,63;59,02;55800;0;1,643;127,9;0,62;59,02;55030;123,1;0,046;4,5;0,78;58,92;20410;0;0,05;4,6;0,75;58,92;21600
25,645697;-100,286587;12/5/2026 14:46;12;5;2026;14;46;123,3;1,645;128,9;0,63;59,02;55810;0;1,622;126,3;0,63;59,02;55040;122,7;0,046;4,4;0,79;58,95;20410;0;0,05;4,6;0,75;58,95;21600
25,645697;-100,286587;12/5/2026 16:12;12;5;2026;16;12;123,5;1,47;114,2;0,62;59,06;55970;0;1,448;111,3;0,62;59,06;55190;122,1;0,046;4,4;0,77;58,96;20410;0;0,05;4,6;0,76;58,96;21600
25,645697;-100,286587;12/5/2026 17:31;12;5;2026;17;31;124,1;0,696;54,5;0,62;59,04;56110;0;0,659;52,3;0,61;59,04;55330;122,1;0,046;4,4;0,78;58,95;20420;0;0,05;4,6;0,75;58,95;21610
25,645697;-100,286587;12/5/2026 19:26;12;5;2026;19;26;123,7;2,711;271;0,8;58,99;56340;0;2,662;264,9;0,8;58,99;55550;123,2;0,046;4,5;0,77;58,9;20430;0;0,05;4,6;0,74;58,9;21620
25,645697;-100,286587;12/5/2026 23:33;12;5;2026;23;33;123,6;1,552;161,3;0,84;59,01;57330;0;1,509;157,2;0,84;59,01;56520;122,4;0,046;4,4;0,78;58,95;20450;0;0,049;4,6;0,76;58,95;21640
25,645697;-100,286587;13/5/2026 2:21;13;5;2026;2;21;124,8;1,87;176,2;0,75;59,01;57800;0;1,845;172,6;0,74;59,01;56980;125,2;1,071;78,8;0,58;58,92;20770;0;1,1;81,5;0,59;58,92;21980
25,645697;-100,286587;13/5/2026 5:14;13;5;2026;5;14;126,1;1,636;150,4;0,72;58,96;58220;0;1,607;146,1;0,71;58,96;57390;126,2;0,131;11,7;0,7;58,87;20930;0;0,136;13;0,75;58,87;22150
25,645697;-100,286587;13/5/2026 7:32;13;5;2026;7;32;125,1;1,538;135,3;0,7;58,99;58520;0;1,521;133,5;0,7;58,99;57680;125,8;0,048;4,6;0,76;58,95;20980;0;0,051;4,8;0,74;58,95;22200
25,645697;-100,286587;13/5/2026 10:08;13;5;2026;10;8;124,1;1,83;216;0,95;58,99;58810;0;1,813;213,6;0,94;58,99;57960;125,4;0,047;4,6;0,77;58,92;20990;0;0,051;4,8;0,74;58,92;22210
25,645697;-100,286587;13/5/2026 12:19;13;5;2026;12;19;125,3;1,554;149,4;0,76;59,04;59140;0;1,527;145,1;0,75;59,04;58290;125,2;0,047;4,6;0,77;58,95;21000;0;0,051;4,8;0,74;58,95;22220
25,645697;-100,286587;13/5/2026 14:15;13;5;2026;14;15;124;1,889;176,7;0,75;58,99;59440;0;1,849;171,3;0,74;58,99;58580;124;0,046;4,5;0,77;58,92;21000;0;0,05;4,7;0,75;58,92;22230
25,645697;-100,286587;13/5/2026 15:48;13;5;2026;15;48;123,1;0,942;94,9;0,81;59,04;59720;0;0,931;94;0,81;59,04;58860;123,3;0,046;4,5;0,78;58,95;21010;0;0,05;4,6;0,75;58,95;22230
25,645697;-100,286587;13/5/2026 17:05;13;5;2026;17;5;122,1;2,794;270,3;0,79;59,01;59960;0;2,765;266,7;0,78;59,01;59090;122,9;0,046;4,5;0,78;58,9;21020;0;0,049;4,6;0,75;58,9;22240
