latitud,longitud,timestamp,day,month,year,hour,minute,voltage_V_A,current_A_A,power_W_A,pf_A,freq_Hz_A,energy_Wh_A,voltage_V_B,current_A_B,power_W_B,pf_B,freq_Hz_B,energy_Wh_B,voltage_V_C,current_A_C,power_W_C,pf_C,freq_Hz_C,energy_Wh_C,voltage_V_D,current_A_D,power_W_D,pf_D,freq_Hz_D,energy_Wh_D,id_punto
25.645697,-100.286587,2026-04-30 14:09:00,30,4,2026,14,9,121.7,17.53,1430,0.66,59.04,477,0,16.99,1349,0.64,59.04,465,120.8,0.44,43,0.8,58.96,606,0,0.48,45,0.77,58.96,649,25.645697_-100.286587
25.645697,-100.286587,2026-04-30 14:45:00,30,4,2026,14,45,121.8,14.95,1195,0.65,59.02,485,0,14.79,1163,0.64,59.02,473,121.8,0.44,43,0.8,58.93,606,0,0.49,46,0.76,58.93,649,25.645697_-100.286587
25.645697,-100.286587,2026-04-30 15:41:00,30,4,2026,15,41,121.2,15.72,1274,0.66,59.01,495,0,15.37,1201,0.64,59.01,483,120.7,0.43,42,0.8,58.93,606,0,0.49,46,0.77,58.93,650,25.645697_-100.286587
25.645697,-100.286587,2026-04-30 16:36:00,30,4,2026,16,36,121.6,17.82,1388,0.63,58.99,505,0,17.62,1357,0.63,58.99,492,121.1,0.44,43,0.8,58.93,607,0,0.5,46,0.76,58.93,650,25.645697_-100.286587
25.645697,-100.286587,2026-04-30 17:33:00,30,4,2026,17,33,121.7,18.18,1490,0.67,58.98,515,0,17.28,1353,0.64,58.98,502,121.4,0.44,43,0.8,58.92,607,0,0.49,46,0.77,58.92,650,25.645697_-100.286587
25.645697,-100.286587,2026-04-30 19:24:00,30,4,2026,19,24,123.0,11.83,1128,0.77,58.99,537,0,11.53,1092,0.76,58.99,522,122.0,0.45,44,0.8,58.93,608,0,0.49,46,0.76,58.93,651,25.645697_-100.286587
25.645697,-100.286587,2026-04-30 23:04:00,30,4,2026,23,4,123.2,17.68,1786,0.81,59.01,644,0,17.52,1761,0.81,59.01,628,121.2,20.5,2283,0.91,58.93,640,0,21.43,2463,0.94,58.93,685,25.645697_-100.286587
25.645697,-100.286587,2026-05-01 01:33:00,1,5,2026,1,33,123.0,17.85,1574,0.71,59.04,682,0,17.89,1581,0.71,59.04,666,123.1,48.66,5925,0.98,58.95,767,0,50.74,6185,0.98,58.95,819,25.645697_-100.286587
25.645697,-100.286587,2026-05-01 03:19:00,1,5,2026,3,19,123.8,9.46,882,0.75,59.04,706,0,9.29,865,0.75,59.04,690,123.9,12.06,967,0.64,58.95,826,0,12.5,1000,0.64,58.95,880,25.645697_-100.286587
25.645697,-100.286587,2026-05-01 04:48:00,1,5,2026,4,48,124.6,17.99,1654,0.73,59.01,726,0,17.82,1628,0.73,59.01,709,125.2,8.81,742,0.67,58.95,870,0,9.13,766,0.67,58.95,925,25.645697_-100.286587
