latitud;longitud;timestamp;day;month;year;hour;minute;voltage_V_A;current_A_A;power_W_A;pf_A;freq_Hz_A;energy_Wh_A;voltage_V_B;current_A_B;power_W_B;pf_B;freq_Hz_B;energy_Wh_B
25,658877;-100,292083;30/4/2026 14:09;30;4;2026;14;9;114,2;96,97;11024;0,99;59,01;2327;0;102,48;11641;0,99;59,01;2651
25,658877;-100,292083;30/4/2026 14:45;30;4;2026;14;45;116,3;53,35;6169;0,99;58,99;2390;0;60,79;6986;0,98;58,99;2717
25,658877;-100,292083;30/4/2026 15:41;30;4;2026;15;41;113,9;52,38;5924;0,99;58,96;2449;0;55,22;6206;0,98;58,96;2783
25,658877;-100,292083;30/4/2026 16:36;30;4;2026;16;36;115,2;52,79;6039;0,99;58,93;2505;0;62,27;7077;0,98;58,93;2844
25,658877;-100,292083;30/4/2026 17:33;30;4;2026;17;33;115,7;96,12;11069;0,99;58,95;2601;0;99,97;11514;0,99;58,95;2935
25,658877;-100,292083;30/4/2026 19:24;30;4;2026;19;24;114,7;91,51;10437;0,99;58,96;2763;0;103,41;11809;0,99;58,96;3098
25,658877;-100,292083;30/4/2026 23:04;30;4;2026;23;4;119,2;100,46;11949;0,99;58,98;3197;0;100,62;11908;0,99;58,98;3525
25,658877;-100,292083;1/5/2026 1:33;1;5;2026;1;33;121,3;102,38;12312;0,99;59,02;3451;0;104,81;12484;0,98;59,02;3797
25,658877;-100,292083;1/5/2026 3:19;1;5;2026;3;19;121,8;93,7;11284;0,98;59,01;3618;0;103,11;12293;0,97;59,01;3969
25,658877;-100,292083;1/5/2026 4:48;1;5;2026;4;48;124,3;10,91;1206;0,88;58,99;3746;0;14,6;1667;0,91;58,99;4102
25,658877;-100,292083;1/5/2026 5:46;1;5;2026;5;46;123,4;50,05;6066;0,98;58,99;3793;0;52,57;6280;0,96;58,99;4156
25,658877;-100,292083;1/5/2026 6:44;1;5;2026;6;44;123;49,17;5928;0,97;58,98;3844;0;57,77;6761;0,95;58,98;4208
