latitud,longitud,timestamp,day,month,year,hour,minute,voltage_V_A,current_A_A,power_W_A,pf_A,freq_Hz_A,energy_Wh_A,voltage_V_B,current_A_B,power_W_B,pf_B,freq_Hz_B,energy_Wh_B,id_punto
25.658877,-100.292083,2026-04-30 14:09:00,30,4,2026,14,9,114.2,96.97,11024,0.99,59.01,2327,0,102.48,11641,0.99,59.01,2651,25.658877_-100.292083
25.658877,-100.292083,2026-04-30 14:45:00,30,4,2026,14,45,116.3,53.35,6169,0.99,58.99,2390,0,60.79,6986,0.98,58.99,2717,25.658877_-100.292083
25.658877,-100.292083,2026-04-30 15:41:00,30,4,2026,15,41,113.9,52.38,5924,0.99,58.96,2449,0,55.22,6206,0.98,58.96,2783,25.658877_-100.292083
25.658877,-100.292083,2026-04-30 16:36:00,30,4,2026,16,36,115.2,52.79,6039,0.99,58.93,2505,0,62.27,7077,0.98,58.93,2844,25.658877_-100.292083
25.658877,-100.292083,2026-04-30 17:33:00,30,4,2026,17,33,115.7,96.12,11069,0.99,58.95,2601,0,99.97,11514,0.99,58.95,2935,25.658877_-100.292083
25.658877,-100.292083,2026-04-30 19:24:00,30,4,2026,19,24,114.7,91.51,10437,0.99,58.96,2763,0,103.41,11809,0.99,58.96,3098,25.658877_-100.292083
25.658877,-100.292083,2026-04-30 23:04:00,30,4,2026,23,4,119.2,100.46,11949,0.99,58.98,3197,0,100.62,11908,0.99,58.98,3525,25.658877_-100.292083
25.658877,-100.292083,2026-05-01 01:33:00,1,5,2026,1,33,121.3,102.38,12312,0.99,59.02,3451,0,104.81,12484,0.98,59.02,3797,25.658877_-100.292083
25.658877,-100.292083,2026-05-01 03:19:00,1,5,2026,3,19,121.8,93.7,11284,0.98,59.01,3618,0,103.11,12293,0.97,59.01,3969,25.658877_-100.292083
25.658877,-100.292083,2026-05-01 04:48:00,1,5,2026,4,48,124.3,10.91,1206,0.88,58.99,3746,0,14.6,1667,0.91,58.99,4102,25.658877_-100.292083
25.658877,-100.292083,2026-05-01 05:46:00,1,5,2026,5,46,123.4,50.05,6066,0.98,58.99,3793,0,52.57,6280,0.96,58.99,4156,25.658877_-100.292083
25.658877,-100.292083,2026-05-01 06:44:00,1,5,2026,6,44,123.0,49.17,5928,0.97,58.98,3844,0,57.77,6761,0.95,58.98,4208,25.658877_-100.292083
25.658877,-100.292083,2026-05-01 08:08:00,1,5,2026,8,8,123.4,10.91,1194,0.88,58.99,3895,0,14.8,1690,0.92,58.99,4264,25.658877_-100.292083
25.658877,-100.292083,2026-05-01 09:14:00,1,5,2026,9,14,123.7,53.8,6585,0.98,59.01,3915,0,55.72,6684,0.96,59.01,4290,25.658877_-100.292083
25.658877,-100.292083,2026-05-01 10:12:00,1,5,2026,10,12,124.6,53.91,6633,0.98,58.99,3971,0,55.22,6687,0.97,58.99,4338,25.658877_-100.292083
25.658877,-100.292083,2026-05-01 11:14:00,1,5,2026,11,14,122.7,96.83,11725,0.98,59.01,4030,0,99.16,11959,0.98,59.01,4399,25.658877_-100.292083
25.658877,-100.292083,2026-05-01 12:13:00,1,5,2026,12,13,125.4,14.92,1737,0.92,58.99,4122,0,23.32,2630,0.89,58.99,4494,25.658877_-100.292083
25.658877,-100.292083,2026-05-01 13:40:00,1,5,2026,13,40,126.6,63.98,7991,0.98,59.01,4260,0,55.71,6713,0.95,59.01,4633,25.658877_-100.292083
25.658877,-100.292083,2026-05-01 14:33:00,1,5,2026,14,33,122.1,96.01,11610,0.99,58.98,4351,0,122.98,14848,0.98,58.98,4719,25.658877_-100.292083
25.658877,-100.292083,2026-05-01 15:30:00,1,5,2026,15,30,120.5,52.16,6175,0.98,58.95,4413,0,56.3,6621,0.97,58.95,4787,25.658877_-100.292083
25.658877,-100.292083,2026-05-01 16:27:00,1,5,2026,16,27,121.5,52.26,6243,0.98,58.96,4497,0,57.54,6830,0.97,58.96,4878,25.658877_-100.292083
25.658877,-100.292083,2026-05-01 17:28:00,1,5,2026,17,28,122.2,13.77,1468,0.87,58.98,4538,0,17.78,1965,0.9,58.98,4945,25.658877_-100.292083
