timestamp,power_a,direction_a,tbd,direction_b,power_b,energy_forword_a,energy_reverse_a,energy_forword_b,energy_reserse_b,power_factor,freq,voltage_a,current_a,current_b,total_power,voltage_coef,current_a_calibration,power_a_calibration,energy_a_calibration_fwd,coef_a_reset,power_factor_b,freq_calibration,current_b_calibration,power_b_calibration,energy_b_calibration_fwd,coef_b_reset,energy_a_calibration_rev,energy_b_calibration_rev,report_rate_control,forward_energy_total,reverse_energy_total
2026-04-30 14:09:56,43,FORWARD,False,FORWARD,45,606,0,649,0,80,5896,1208,44,48,88,1000,1000,1000,1000,False,77,1000,1000,1000,1000,False,1000,1000,10,1255,0
2026-04-30 14:45:04,43,FORWARD,False,FORWARD,46,606,0,649,0,80,5893,1218,44,49,89,1000,1000,1000,1000,False,76,1000,1000,1000,1000,False,1000,1000,10,1255,0
2026-04-30 15:41:58,42,FORWARD,False,FORWARD,46,606,0,650,0,80,5893,1207,43,49,88,1000,1000,1000,1000,False,77,1000,1000,1000,1000,False,1000,1000,10,1256,0
2026-04-30 16:36:24,43,FORWARD,False,FORWARD,46,607,0,650,0,80,5893,1211,44,50,89,1000,1000,1000,1000,False,76,1000,1000,1000,1000,False,1000,1000,10,1257,0
2026-04-30 17:33:24,43,FORWARD,False,FORWARD,46,607,0,650,0,80,5892,1214,44,49,89,1000,1000,1000,1000,False,77,1000,1000,1000,1000,False,1000,1000,10,1257,0
2026-04-30 19:24:38,44,FORWARD,False,FORWARD,46,608,0,651,0,80,5893,1220,45,49,90,1000,1000,1000,1000,False,76,1000,1000,1000,1000,False,1000,1000,10,1259,0
2026-04-30 23:04:16,2283,FORWARD,False,FORWARD,2463,640,0,685,0,91,5893,1212,2050,2143,4746,1000,1000,1000,1000,False,94,1000,1000,1000,1000,False,1000,1000,10,1325,0
2026-05-01 01:33:57,5925,FORWARD,False,FORWARD,6185,767,0,819,0,98,5895,1231,4866,5074,12110,1000,1000,1000,1000,False,98,1000,1000,1000,1000,False,1000,1000,10,1586,0
2026-05-01 03:19:04,967,FORWARD,False,FORWARD,1000,826,0,880,0,64,5895,1239,1206,1250,1967,1000,1000,1000,1000,False,64,1000,1000,1000,1000,False,1000,1000,10,1706,0
2026-05-01 04:48:50,742,FORWARD,False,FORWARD,766,870,0,925,0,67,5895,1252,881,913,1508,1000,1000,1000,1000,False,67,1000,1000,1000,1000,False,1000,1000,10,1795,0
2026-05-01 05:46:54,835,FORWARD,False,FORWARD,874,881,0,937,0,57,5893,1252,1166,1209,1709,1000,1000,1000,1000,False,57,1000,1000,1000,1000,False,1000,1000,10,1818,0
2026-05-01 06:44:29,751,FORWARD,False,FORWARD,786,889,0,945,0,58,5893,1252,1026,1062,1537,1000,1000,1000,1000,False,59,1000,1000,1000,1000,False,1000,1000,10,1834,0
2026-05-01 08:08:48,47,FORWARD,False,FORWARD,50,891,0,948,0,79,5893,1262,47,52,97,1000,1000,1000,1000,False,76,1000,1000,1000,1000,False,1000,1000,10,1839,0
2026-05-01 09:14:33,47,FORWARD,False,FORWARD,49,892,0,949,0,78,5895,1262,48,52,96,1000,1000,1000,1000,False,74,1000,1000,1000,1000,False,1000,1000,10,1841,0
2026-05-01 10:12:16,47,FORWARD,False,FORWARD,48,893,0,950,0,77,5895,1258,47,51,95,1000,1000,1000,1000,False,74,1000,1000,1000,1000,False,1000,1000,10,1843,0
2026-05-01 11:14:37,46,FORWARD,False,FORWARD,48,893,0,950,0,78,5896,1256,47,51,94,1000,1000,1000,1000,False,75,1000,1000,1000,1000,False,1000,1000,10,1843,0
2026-05-01 12:13:29,45,FORWARD,False,FORWARD,47,893,0,950,0,78,5895,1248,46,50,92,1000,1000,1000,1000,False,75,1000,1000,1000,1000,False,1000,1000,10,1843,0
2026-05-01 13:40:37,46,FORWARD,False,FORWARD,48,894,0,951,0,78,5895,1252,46,51,94,1000,1000,1000,1000,False,75,1000,1000,1000,1000,False,1000,1000,10,1845,0
2026-05-01 14:33:32,46,FORWARD,False,FORWARD,47,894,0,952,0,78,5893,1253,46,50,93,1000,1000,1000,1000,False,74,1000,1000,1000,1000,False,1000,1000,10,1846,0
2026-05-01 15:30:38,45,FORWARD,False,FORWARD,48,894,0,952,0,78,5892,1239,46,51,93,1000,1000,1000,1000,False,75,1000,1000,1000,1000,False,1000,1000,10,1846,0
2026-05-01 16:27:58,45,FORWARD,False,FORWARD,47,894,0,952,0,78,5888,1239,46,51,92,1000,1000,1000,1000,False,75,1000,1000,1000,1000,False,1000,1000,10,1846,0
2026-05-01 17:28:19,45,FORWARD,False,FORWARD,48,895,0,953,0,78,5893,1240,46,50,93,1000,1000,1000,1000,False,77,1000,1000,1000,1000,False,1000,1000,10,1848,0
2026-05-01 19:12:29,46,FORWARD,False,FORWARD,47,896,0,954,0,78,5890,1250,47,51,93,1000,1000,1000,1000,False,74,1000,1000,1000,1000,False,1000,1000,10,1850,0
2026-05-01 22:28:12,46,FORWARD,False,FORWARD,48,897,0,955,0,78,5895,1246,47,51,94,1000,1000,1000,1000,False,75,1000,1000,1000,1000,False,1000,1000,10,1852,0
2026-05-02 00:26:15,47,FORWARD,False,FORWARD,50,898,0,956,0,77,5892,1266,48,53,97,1000,1000,1000,1000,False,75,1000,1000,1000,1000,False,1000,1000,10,1854,0
2026-05-02 02:07:19,48,FORWARD,False,FORWARD,50,899,0,957,0,77,5892,1276,48,53,98,1000,1000,1000,1000,False,74,1000,1000,1000,1000,False,1000,1000,10,1856,0
2026-05-02 03:19:33,48,FORWARD,False,FORWARD,50,899,0,958,0,76,5890,1278,49,53,98,1000,1000,1000,1000,False,73,1000,1000,1000,1000,False,1000,1000,10,1857,0
2026-05-02 04:14:09,48,FORWARD,False,FORWARD,51,900,0,958,0,77,5892,1278,49,54,99,1000,1000,1000,1000,False,74,1000,1000,1000,1000,False,1000,1000,10,1858,0
2026-05-02 05:08:22,48,FORWARD,False,FORWARD,50,900,0,959,0,76,5890,1280,49,53,98,1000,1000,1000,1000,False,73,1000,1000,1000,1000,False,1000,1000,10,1859,0
2026-05-02 05:56:57,48,FORWARD,False,FORWARD,50,901,0,959,0,76,5892,1278,49,52,98,1000,1000,1000,1000,False,74,1000,1000,1000,1000,False,1000,1000,10,1860,0
2026-05-02 07:15:06,48,FORWARD,False,FORWARD,50,901,0,960,0,76,5888,1275,49,53,98,1000,1000,1000,1000,False,74,1000,1000,1000,1000,False,1000,1000,10,1861,0
2026-05-02 08:15:48,47,FORWARD,False,FORWARD,51,902,0,960,0,75,5890,1284,49,54,98,1000,1000,1000,1000,False,73,1000,1000,1000,1000,False,1000,1000,10,1862,0
2026-05-02 09:07:57,48,FORWARD,False,FORWARD,50,902,0,961,0,76,5893,1279,49,52,98,1000,1000,1000,1000,False,74,1000,1000,1000,1000,False,1000,1000,10,1863,0
2026-05-02 09:59:39,48,FORWARD,False,FORWARD,50,903,0,961,0,76,5895,1275,49,54,98,1000,1000,1000,1000,False,73,1000,1000,1000,1000,False,1000,1000,10,1864,0
2026-05-02 11:00:16,47,FORWARD,False,FORWARD,51,903,0,962,0,75,5895,1277,49,54,98,1000,1000,1000,1000,False,73,1000,1000,1000,1000,False,1000,1000,10,1865,0
2026-05-02 11:53:48,47,FORWARD,False,FORWARD,49,904,0,962,0,76,5892,1270,48,52,96,1000,1000,1000,1000,False,75,1000,1000,1000,1000,False,1000,1000,10,1866,0
2026-05-02 12:45:43,47,FORWARD,False,FORWARD,49,904,0,962,0,76,5888,1270,48,52,96,1000,1000,1000,1000,False,73,1000,1000,1000,1000,False,1000,1000,10,1866,0
2026-05-02 13:43:53,46,FORWARD,False,FORWARD,50,904,0,963,0,76,5888,1268,48,52,96,1000,1000,1000,1000,False,74,1000,1000,1000,1000,False,1000,1000,10,1867,0
2026-05-02 14:26:15,47,FORWARD,False,FORWARD,50,905,0,963,0,77,5887,1268,48,52,97,1000,1000,1000,1000,False,75,1000,1000,1000,1000,False,1000,1000,10,1868,0
2026-05-02 15:08:19,48,FORWARD,False,FORWARD,49,905,0,964,0,76,5887,1276,49,52,97,1000,1000,1000,1000,False,73,1000,1000,1000,1000,False,1000,1000,10,1869,0
2026-05-02 15:57:36,47,FORWARD,False,FORWARD,49,905,0,964,0,77,5888,1266,48,51,96,1000,1000,1000,1000,False,75,1000,1000,1000,1000,False,1000,1000,10,1869,0
2026-05-02 16:47:20,46,FORWARD,False,FORWARD,48,906,0,964,0,76,5884,1260,48,52,94,1000,1000,1000,1000,False,73,1000,1000,1000,1000,False,1000,1000,10,1870,0
2026-05-02 17:30:26,47,FORWARD,False,FORWARD,48,906,0,965,0,76,5892,1266,48,52,95,1000,1000,1000,1000,False,73,1000,1000,1000,1000,False,1000,1000,10,1871,0
2026-05-02 18:11:10,48,FORWARD,False,FORWARD,50,907,0,965,0,76,5892,1277,49,52,98,1000,1000,1000,1000,False,75,1000,1000,1000,1000,False,1000,1000,10,1872,0
2026-05-02 22:11:41,47,FORWARD,False,FORWARD,49,908,0,967,0,75,5892,1270,49,52,96,1000,1000,1000,1000,False,73,1000,1000,1000,1000,False,1000,1000,10,1875,0
2026-05-03 00:40:56,48,FORWARD,False,FORWARD,50,910,0,968,0,75,5892,1280,49,54,98,1000,1000,1000,1000,False,72,1000,1000,1000,1000,False,1000,1000,10,1878,0
2026-05-03 02:25:54,47,FORWARD,False,FORWARD,49,910,0,969,0,75,5888,1276,49,52,96,1000,1000,1000,1000,False,73,1000,1000,1000,1000,False,1000,1000,10,1879,0
2026-05-03 03:47:35,47,FORWARD,False,FORWARD,50,911,0,970,0,74,5887,1278,49,53,97,1000,1000,1000,1000,False,73,1000,1000,1000,1000,False,1000,1000,10,1881,0
2026-05-03 04:40:23,47,FORWARD,False,FORWARD,48,912,0,970,0,75,5890,1277,49,52,95,1000,1000,1000,1000,False,72,1000,1000,1000,1000,False,1000,1000,10,1882,0
2026-05-03 05:27:16,48,FORWARD,False,FORWARD,50,912,0,971,0,76,5893,1279,49,53,98,1000,1000,1000,1000,False,73,1000,1000,1000,1000,False,1000,1000,10,1883,0
2026-05-03 06:07:08,48,FORWARD,False,FORWARD,49,912,0,971,0,75,5890,1278,49,52,97,1000,1000,1000,1000,False,73,1000,1000,1000,1000,False,1000,1000,10,1883,0
2026-05-03 07:45:40,48,FORWARD,False,FORWARD,49,913,0,972,0,75,5892,1285,49,52,97,1000,1000,1000,1000,False,73,1000,1000,1000,1000,False,1000,1000,10,1885,0
2026-05-03 08:36:50,47,FORWARD,False,FORWARD,50,913,0,972,0,75,5887,1280,49,53,97,1000,1000,1000,1000,False,73,1000,1000,1000,1000,False,1000,1000,10,1885,0
2026-05-03 09:27:53,50,FORWARD,False,FORWARD,51,914,0,973,0,76,5885,1288,50,53,101,1000,1000,1000,1000,False,74,1000,1000,1000,1000,False,1000,1000,10,1887,0
2026-05-03 10:10:22,47,FORWARD,False,FORWARD,50,914,0,973,0,75,5892,1280,49,53,97,1000,1000,1000,1000,False,73,1000,1000,1000,1000,False,1000,1000,10,1887,0
2026-05-03 11:07:38,47,FORWARD,False,FORWARD,50,915,0,973,0,76,5893,1272,48,53,97,1000,1000,1000,1000,False,74,1000,1000,1000,1000,False,1000,1000,10,1888,0
2026-05-03 12:00:43,48,FORWARD,False,FORWARD,50,915,0,974,0,77,5888,1273,49,53,98,1000,1000,1000,1000,False,74,1000,1000,1000,1000,False,1000,1000,10,1889,0
2026-05-03 13:12:47,47,FORWARD,False,FORWARD,49,915,0,975,0,75,5893,1269,48,53,96,1000,1000,1000,1000,False,73,1000,1000,1000,1000,False,1000,1000,10,1890,0
2026-05-03 14:00:35,46,FORWARD,False,FORWARD,48,916,0,975,0,76,5892,1254,48,52,94,1000,1000,1000,1000,False,74,1000,1000,1000,1000,False,1000,1000,10,1891,0
2026-05-03 14:56:41,46,FORWARD,False,FORWARD,49,916,0,976,0,75,5887,1270,48,52,95,1000,1000,1000,1000,False,74,1000,1000,1000,1000,False,1000,1000,10,1892,0
2026-05-03 15:42:22,47,FORWARD,False,FORWARD,49,917,0,976,0,76,5888,1260,49,53,96,1000,1000,1000,1000,False,73,1000,1000,1000,1000,False,1000,1000,10,1893,0
2026-05-03 16:24:46,47,FORWARD,False,FORWARD,49,917,0,976,0,77,5888,1261,48,52,96,1000,1000,1000,1000,False,75,1000,1000,1000,1000,False,1000,1000,10,1893,0
2026-05-03 17:09:56,45,FORWARD,False,FORWARD,47,918,0,976,0,77,5893,1245,47,51,92,1000,1000,1000,1000,False,74,1000,1000,1000,1000,False,1000,1000,10,1894,0
2026-05-03 18:02:45,45,FORWARD,False,FORWARD,48,918,0,977,0,77,5893,1251,47,50,93,1000,1000,1000,1000,False,75,1000,1000,1000,1000,False,1000,1000,10,1895,0
2026-05-03 22:03:01,46,FORWARD,False,FORWARD,49,918,0,977,0,77,5887,1251,48,53,95,1000,1000,1000,1000,False,75,1000,1000,1000,1000,False,1000,1000,10,1895,0
2026-05-04 00:49:21,47,FORWARD,False,FORWARD,49,919,0,978,0,76,5893,1262,48,52,96,1000,1000,1000,1000,False,74,1000,1000,1000,1000,False,1000,1000,10,1897,0
2026-05-04 03:09:05,47,FORWARD,False,FORWARD,49,920,0,979,0,76,5896,1270,48,52,96,1000,1000,1000,1000,False,74,1000,1000,1000,1000,False,1000,1000,10,1899,0
2026-05-04 05:17:05,48,FORWARD,False,FORWARD,50,921,0,980,0,76,5895,1277,49,53,98,1000,1000,1000,1000,False,74,1000,1000,1000,1000,False,1000,1000,10,1901,0
2026-05-04 06:59:14,46,FORWARD,False,FORWARD,49,922,0,981,0,75,5890,1276,48,52,95,1000,1000,1000,1000,False,73,1000,1000,1000,1000,False,1000,1000,10,1903,0
2026-05-04 09:12:55,47,FORWARD,False,FORWARD,48,922,0,982,0,76,5892,1266,48,52,95,1000,1000,1000,1000,False,73,1000,1000,1000,1000,False,1000,1000,10,1904,0
2026-05-04 11:02:39,47,FORWARD,False,FORWARD,49,923,0,983,0,76,5888,1266,48,52,96,1000,1000,1000,1000,False,73,1000,1000,1000,1000,False,1000,1000,10,1906,0
2026-05-04 12:25:24,46,FORWARD,False,FORWARD,49,924,0,984,0,77,5895,1250,47,52,95,1000,1000,1000,1000,False,75,1000,1000,1000,1000,False,1000,1000,10,1908,0
2026-05-04 14:02:04,46,FORWARD,False,FORWARD,48,924,0,985,0,77,5896,1256,47,52,94,1000,1000,1000,1000,False,74,1000,1000,1000,1000,False,1000,1000,10,1909,0
2026-05-04 15:16:51,45,FORWARD,False,FORWARD,47,925,0,985,0,77,5888,1236,46,50,92,1000,1000,1000,1000,False,75,1000,1000,1000,1000,False,1000,1000,10,1910,0
2026-05-04 16:16:47,45,FORWARD,False,FORWARD,47,926,0,986,0,78,5893,1242,46,51,92,1000,1000,1000,1000,False,75,1000,1000,1000,1000,False,1000,1000,10,1912,0
