timestamp,voltage_V,current_A,power_W,pf,freq_Hz,energy_Wh
2026-04-24 16:14:02,127.9,0.044,4.2,0.75,59.16,23487
2026-04-24 16:37:17,127.7,0.043,4.2,0.75,59.12,23487
2026-04-24 16:38:56,127.0,0.043,4.0,0.74,59.18,23487
2026-04-24 17:23:32,127.4,0.044,4.2,0.74,59.12,23487
2026-04-24 17:24:39,126.9,0.043,4.1,0.75,59.13,23487
2026-04-24 18:02:36,126.6,0.043,4.1,0.75,59.12,23488
2026-04-24 21:27:44,124.0,0.042,4.0,0.76,59.15,23522
2026-04-24 23:27:28,127.5,0.045,4.3,0.74,59.1,23522
2026-04-25 00:51:13,127.1,0.042,4.1,0.75,59.1,23523
2026-04-25 01:57:20,128.3,0.042,4.1,0.75,59.16,23523
2026-04-25 02:56:57,128.8,0.042,4.0,0.74,59.13,23524
2026-04-25 03:54:16,129.8,0.043,4.2,0.75,59.13,23549
2026-04-25 04:38:07,129.5,0.042,4.2,0.76,59.15,23549
2026-04-25 05:25:08,130.7,0.044,4.3,0.74,59.15,23550
2026-04-25 06:00:41,131.1,0.044,4.3,0.75,59.12,23550
2026-04-25 07:24:48,130.1,0.044,4.2,0.73,59.18,23551
2026-04-25 08:12:21,130.7,0.044,4.3,0.74,59.1,23551
2026-04-25 09:02:10,131.2,0.045,4.4,0.74,59.15,23551
2026-04-25 09:51:54,130.0,0.044,4.2,0.73,59.12,23552
2026-04-25 10:28:00,128.1,0.043,4.1,0.74,59.12,23552
2026-04-25 11:10:34,126.6,0.042,4.0,0.74,59.16,23552
2026-04-25 11:57:06,129.8,0.044,4.2,0.74,59.12,23552
2026-04-25 12:56:07,128.8,0.043,4.1,0.74,59.16,23553
2026-04-25 13:43:10,128.2,0.045,4.4,0.75,59.15,23553
2026-04-25 14:22:15,128.8,0.047,4.5,0.74,59.13,23553
2026-04-25 15:01:13,127.1,0.042,4.1,0.75,59.1,23554
2026-04-25 15:49:19,124.7,0.045,4.2,0.73,59.2,23554
2026-04-25 16:21:12,125.3,7.987,886.2,0.88,59.15,23588
2026-04-25 17:01:04,124.0,0.043,3.9,0.73,59.13,23609
2026-04-25 17:50:05,125.9,0.043,4.0,0.75,59.18,23610
2026-04-25 19:16:02,123.9,0.043,3.9,0.74,59.13,23610
2026-04-25 22:33:37,127.5,0.043,4.1,0.76,59.13,23637
2026-04-26 00:27:11,124.7,0.044,4.2,0.75,59.1,23637
2026-04-26 02:02:40,124.5,0.043,4.1,0.75,59.15,23638
2026-04-26 03:11:59,126.8,6.526,723.8,0.87,59.12,23690
2026-04-26 04:07:07,128.9,0.043,4.1,0.75,59.1,23718
2026-04-26 05:01:13,129.8,0.043,4.2,0.75,59.13,23718
2026-04-26 05:49:26,129.5,0.042,4.0,0.74,59.13,23718
2026-04-26 06:33:52,131.3,0.042,4.1,0.74,59.16,23718
2026-04-26 07:50:18,128.0,0.043,4.1,0.75,59.15,23719
2026-04-26 08:34:34,128.5,0.042,4.1,0.74,59.15,23719
2026-04-26 09:25:37,129.6,6.945,776.1,0.86,59.13,23745
2026-04-26 10:05:33,129.8,6.909,785.3,0.87,59.18,23796
2026-04-26 10:59:44,128.6,0.044,4.1,0.73,59.15,23800
2026-04-26 11:50:33,128.2,0.041,3.8,0.73,59.16,23800
2026-04-26 12:31:38,128.7,0.043,4.2,0.75,59.12,23801
2026-04-26 13:31:20,125.1,7.765,823.7,0.84,59.15,23817
2026-04-26 14:05:40,126.8,0.043,4.1,0.75,59.18,23818
2026-04-26 14:55:35,123.5,0.043,4.1,0.76,59.15,23818
2026-04-26 15:36:06,121.6,8.523,867.5,0.83,59.13,23875
2026-04-26 16:07:18,123.1,0.042,3.8,0.74,59.2,23911
2026-04-26 16:57:22,121.8,8.222,836.2,0.83,59.13,23916
2026-04-26 17:41:52,121.0,5.252,615.7,0.96,59.16,23957
2026-04-26 19:15:25,120.2,8.477,838.6,0.82,59.1,23964
