timestamp,voltage_V,current_A,power_W,pf,freq_Hz,energy_Wh,energy_kWh
2026-05-19 09:27:18,128.1,2.701,55.8,0.16,59.02,1130,1.13
2026-05-19 10:03:17,130.3,2.811,64.8,0.17,59.04,1160,1.16
2026-05-19 12:17:56,130.4,0.0,0.0,1.0,59.02,1290,1.29
2026-05-19 14:08:34,129.4,1.913,6.3,0.02,59.01,1350,1.35
2026-05-19 15:48:56,128.8,2.806,73.1,0.2,59.06,1430,1.43
2026-05-19 17:02:39,131.5,4.483,223.8,0.37,59.02,1600,1.6
2026-05-19 19:27:10,130.4,3.773,164.8,0.33,59.09,1850,1.85
2026-05-19 23:50:19,126.9,2.632,44.2,0.13,59.01,2250,2.25
2026-05-20 03:35:35,131.7,2.593,41.9,0.12,59.02,2420,2.42
2026-05-20 06:10:37,132.5,2.563,42.1,0.12,59.02,2490,2.49
2026-05-20 10:00:31,128.6,0.0,0.0,1.0,59.04,2600,2.6
2026-05-20 12:28:08,130.3,2.042,11.1,0.04,59.02,2740,2.74
2026-05-20 14:38:23,129.8,2.845,71.6,0.19,59.04,3010,3.01
2026-05-20 16:15:14,129.9,4.423,173.3,0.3,59.01,3090,3.09
2026-05-20 17:42:12,132.1,2.517,71.4,0.21,58.99,3250,3.25
2026-05-20 21:45:42,130.5,3.803,169.8,0.34,59.01,4180,4.18
2026-05-21 01:54:38,130.9,2.731,59.1,0.16,58.99,4600,4.6
2026-05-21 05:26:48,132.2,2.732,50.0,0.13,59.06,4720,4.72
2026-05-21 08:25:39,133.6,2.751,50.2,0.13,58.99,4800,4.8
2026-05-21 11:19:48,132.1,2.168,49.4,0.17,59.02,4960,4.96
2026-05-21 13:22:59,130.4,2.767,77.8,0.21,59.06,5120,5.12
2026-05-21 15:16:33,128.7,2.773,84.6,0.23,59.02,5250,5.25
2026-05-21 16:45:22,130.5,3.591,132.4,0.28,59.02,5430,5.43
2026-05-21 18:02:55,131.6,3.509,122.4,0.26,59.04,5600,5.6
2026-05-21 22:39:00,127.3,2.679,28.1,0.08,59.01,6170,6.17
2026-05-22 02:02:30,132.1,1.939,13.9,0.05,59.02,6290,6.29
2026-05-22 05:20:57,132.1,2.641,29.1,0.08,59.01,6350,6.35
2026-05-22 07:59:00,132.2,2.589,32.3,0.09,59.01,6410,6.41
2026-05-22 10:32:49,126.2,2.071,14.3,0.05,59.02,6500,6.5
2026-05-22 12:21:08,130.9,2.655,40.9,0.11,59.04,6540,6.54
2026-05-22 14:24:21,126.8,2.682,57.1,0.16,59.09,6610,6.61
2026-05-22 15:46:23,124.5,2.709,54.2,0.16,59.07,6780,6.78
2026-05-22 16:59:53,127.8,4.621,205.1,0.34,59.06,6920,6.92
2026-05-22 18:14:32,128.3,4.568,203.6,0.34,59.02,7180,7.18
2026-05-22 22:11:52,130.5,3.365,117.9,0.26,59.04,7870,7.87
2026-05-23 01:09:58,128.3,2.676,51.7,0.15,58.98,8080,8.08
2026-05-23 03:15:35,128.2,2.58,43.4,0.13,59.02,8170,8.17
2026-05-23 04:46:18,130.1,1.936,9.1,0.03,58.99,8220,8.22
2026-05-23 06:00:35,131.3,2.626,40.1,0.11,59.01,8250,8.25
2026-05-23 08:05:50,131.4,2.639,35.5,0.1,58.98,8300,8.3
2026-05-23 09:34:39,131.3,2.643,34.3,0.09,58.98,8320,8.32
2026-05-23 10:38:34,130.3,1.952,12.7,0.04,58.99,8350,8.35
2026-05-23 11:43:36,128.3,2.64,36.7,0.1,59.06,8380,8.38
2026-05-23 13:10:52,130.7,2.894,64.9,0.17,58.98,8470,8.47
2026-05-23 14:13:01,130.8,2.711,34.1,0.09,59.02,8540,8.54
2026-05-23 15:10:30,128.5,2.692,60.2,0.17,58.99,8590,8.59
2026-05-23 16:10:43,126.2,2.725,51.1,0.14,59.06,8670,8.67
2026-05-23 17:14:14,126.4,3.146,119.0,0.29,59.01,8880,8.88
2026-05-23 18:15:02,128.2,4.938,281.7,0.44,59.04,9180,9.18
2026-05-23 22:42:36,130.7,6.542,338.7,0.39,58.99,10240,10.24
2026-05-24 01:49:20,129.8,2.745,50.6,0.14,59.01,10550,10.55
2026-05-24 03:55:10,131.6,2.671,40.1,0.11,58.99,10630,10.63
2026-05-24 05:17:58,130.7,2.672,35.1,0.1,58.98,10680,10.68
2026-05-24 06:13:59,131.9,1.971,16.7,0.06,59.01,10700,10.7
2026-05-24 08:04:40,132.5,1.974,10.3,0.03,59.06,10740,10.74
2026-05-24 09:37:30,129.0,1.985,13.7,0.05,58.99,10790,10.79
2026-05-24 10:41:49,130.1,2.684,61.6,0.17,59.07,10820,10.82
2026-05-24 11:58:35,130.7,3.533,122.7,0.26,59.01,11020,11.02
2026-05-24 13:27:06,130.4,2.652,56.8,0.16,59.04,11080,11.08
2026-05-24 14:34:04,127.5,2.688,60.0,0.17,59.02,11110,11.11
2026-05-24 15:36:40,127.3,2.653,49.2,0.14,59.01,11150,11.15
